"","X1","X2","X3","X4","X5"
"1",0,0.632455532033676,0.632455532033676,0,0.447213595499958
"2",0,0.866025403784439,0.5,0,0
"3",0,0.816496580927726,0.577350269189626,0,0
"4",0,0.577350269189626,0.577350269189626,0.577350269189626,0
"5",0,0,0.480384461415261,0.832050294337844,0.277350098112615
"6",NA,NA,NA,NA,NA
"7",NA,NA,NA,NA,NA
"8",0,0,0,0.707106781186548,0.707106781186548
"9",0,0.577350269189626,0.577350269189626,0.577350269189626,0
"10",0,0.333333333333333,0.666666666666667,0.666666666666667,0
"11",0,0,1,0,0
"12",0,0.577350269189626,0.816496580927726,0,0
"13",0,0,0,1,0
"14",0,0,1,0,0
"15",0,0,0,1,0
"16",NA,NA,NA,NA,NA
"17",NA,NA,NA,NA,NA
"18",0,0,0,1,0
"19",0,0.333333333333333,0.666666666666667,0,0.666666666666667
"20",0,0,0.632455532033676,0.774596669241483,0
"21",0,0,0,1,0
"22",NA,NA,NA,NA,NA
"23",0,0,0,0.666666666666667,0.74535599249993
"24",NA,NA,NA,NA,NA
"25",0,0,1,0,0
"26",0,1,0,0,0
"27",0,0,0,0.866025403784439,0.5
"28",0,0,0,1,0
"29",0,0,0.5,0.866025403784439,0
"30",0,0,0,0.707106781186548,0.707106781186548
"31",0,0,0,0.866025403784439,0.5
"32",0,0,0.534522483824849,0.845154254728517,0
"33",0,0.654653670707977,0.534522483824849,0.377964473009227,0.377964473009227
"34",0,0,0.707106781186548,0,0.707106781186548
"35",0,0.5,0.612372435695794,0.5,0.353553390593274
"36",0,0,0,1,0
"37",NA,NA,NA,NA,NA
"38",NA,NA,NA,NA,NA
"39",NA,NA,NA,NA,NA
"40",0,1,0,0,0
"41",0,1,0,0,0
"42",NA,NA,NA,NA,NA
"43",0,0.377964473009227,0.377964473009227,0.654653670707977,0.534522483824849
"44",0,0.577350269189626,0.577350269189626,0.577350269189626,0
"45",NA,NA,NA,NA,NA
"46",NA,NA,NA,NA,NA
"47",0,0.577350269189626,0.816496580927726,0,0
"48",0,0.707106781186548,0,0.707106781186548,0
"49",0,0.707106781186548,0.707106781186548,0,0
"50",NA,NA,NA,NA,NA
"51",0,0,0,0,1
"52",NA,NA,NA,NA,NA
"53",NA,NA,NA,NA,NA
"54",NA,NA,NA,NA,NA
"55",0,0,0.707106781186548,0.707106781186548,0
"56",0,0,1,0,0
"57",NA,NA,NA,NA,NA
"58",0,0.632455532033676,0.447213595499958,0.632455532033676,0
"59",0,0,0,0.577350269189626,0.816496580927726
"60",NA,NA,NA,NA,NA
"61",0,0,0,0.816496580927726,0.577350269189626
"62",0,0,0.577350269189626,0.577350269189626,0.577350269189626
"63",NA,NA,NA,NA,NA
"64",NA,NA,NA,NA,NA
"65",0,0.577350269189626,0,0.816496580927726,0
"66",0,0,1,0,0
"67",0,0,0,1,0
"68",0,0.5,0.5,0.707106781186548,0
"69",0,0,1,0,0
"70",0,0,0.707106781186548,0,0.707106781186548
"71",0,0,0.534522483824849,0.755928946018454,0.377964473009227
"72",0,0.447213595499958,0.632455532033676,0.632455532033676,0
"73",0,1,0,0,0
"74",0,0,0.5,0.5,0.707106781186548
"75",0,0,0,0.816496580927726,0.577350269189626
"76",0,0.447213595499958,0.632455532033676,0.632455532033676,0
"77",0,0,0.707106781186548,0.707106781186548,0
"78",0,0,0,0,1
"79",0,0.408248290463863,0,0.577350269189626,0.707106781186548
"80",0,0,0.377964473009227,0.534522483824849,0.755928946018454
"81",0,0,0,0.816496580927726,0.577350269189626
"82",0,0,0.866025403784439,0.5,0
"83",0,0,0.447213595499958,0.632455532033676,0.632455532033676
"84",0,0,0.5,0,0.866025403784439
"85",0,0,0,0.447213595499958,0.894427190999916
"86",0,0,1,0,0
"87",0,0.707106781186548,0,0,0.707106781186548
"88",0,0,0,0.577350269189626,0.816496580927726
"89",0,0,0,1,0
"90",0,0,0,1,0
"91",0,0,0,1,0
"92",0,0,0,0.707106781186548,0.707106781186548
"93",0,1,0,0,0
"94",0,0,0,0.707106781186548,0.707106781186548
"95",0,0,0.707106781186548,0.707106781186548,0
"96",0,0,0.408248290463863,0.577350269189626,0.707106781186548
"97",0,0,1,0,0
"98",0,0,0,0.774596669241483,0.632455532033676
"99",0,0,0,1,0
"100",NA,NA,NA,NA,NA
"101",0,0,0.894427190999916,0.447213595499958,0
"102",0,0,0,1,0
"103",0,0,0,1,0
"104",0,0,0.707106781186548,0.5,0.5
"105",0,0,0,1,0
"106",0,0,0.866025403784439,0,0.5
"107",0,0,0,1,0
"108",0,0,0.577350269189626,0.816496580927726,0
"109",0,0,0.5,0.707106781186548,0.5
"110",0,0.5,0.707106781186548,0.5,0
"111",0,0,0.447213595499958,0.774596669241483,0.447213595499958
"112",NA,NA,NA,NA,NA
"113",0,0,0,0,1
"114",0,0,0.816496580927726,0,0.577350269189626
"115",0,0,0.5,0.612372435695794,0.612372435695794
"116",0,0,0,0,1
"117",0,0.707106781186548,0.707106781186548,0,0
"118",0,0,0.5,0.866025403784439,0
"119",0,0,0,0.707106781186548,0.707106781186548
"120",0,0,0.577350269189626,0.707106781186548,0.408248290463863
"121",0,0,0,0.707106781186548,0.707106781186548
"122",0,1,0,0,0
"123",0,0,0.447213595499958,0.632455532033676,0.632455532033676
"124",NA,NA,NA,NA,NA
"125",0,0.707106781186548,0.707106781186548,0,0
"126",0,0.447213595499958,0.632455532033676,0.447213595499958,0.447213595499958
"127",0,0.301511344577764,0.426401432711221,0.674199862463242,0.522232967867094
